year,player,fee_gbp
1893,Willie Groves,100
1899,Jimmy Settle,400
1903,Benny Green,500
1904,Andy McCombie,700
1905,Alf Common,1000
1907,George Wilson,1600
1911,John Simpson,1800
1911,Billy Hibbert,1950
1913,George Utley,2000
1914,Percy Dawson,2500
1920,Joe Lane,3650
1920,Johnny Crosbie,3700
1920,Stan Fazackerley,4000
1920,David Mercer,4500
1922,Syd Puddefoot,5000
1922,Warney Cresswell,5500
1923,Andy Wilson,6000
1925,Bob Kelly,6500
1927,Jimmy Gibson,7500
1928,David Jack,10647
1938,Bryn Jones,14000
1947,Billy Steel,15500
1947,Tommy Lawton,20000
1948,Len Shackleton,20500
1949,Johnny Morris,24000
1949,Eddie Quigley,26500
1950,Trevor Ford,30000
1951,Jackie Sewell,34500
1955,Eddie Firmani,35000
1957,John Charles,65000
1961,Gerry Hitchens,85000
1962,Denis Law,115000
1968,Martin Chivers,125000
1968,Allan Clarke,150000
1969,Allan Clarke,165000
1970,Martin Peters,200000
1971,Alan Ball,220000
1972,David Nish,225000
1974,Alan Hudson,240000
1974,Bob Latchford,350000
1977,Kevin Keegan,500000
1979,David Mills,516000
1979,Trevor Francis,1180000
1979,Steve Daley,1450000
1979,Andy Gray,1469000
1981,Bryan Robson,1500000
1984,Ray Wilkins,1500000
1986,Mark Hughes,2300000
1987,Ian Rush,3200000
1989,Chris Waddle,4250000
1991,David Platt,5500000
1991,Trevor Steven,5500000
1992,Paul Gascoigne,5500000
1995,Andy Cole,7000000
1995,Dennis Bergkamp,7500000
1995,Stan Collymore,8500000
1996,Alan Shearer,15000000
1999,Nicolas Anelka,22500000
2001,Juan Sebastián Verón,28100000
2002,Rio Ferdinand,29100000
2006,Andriy Shevchenko,30800000
2008,Robinho,32500000
2009,Cristiano Ronaldo,80000000
2013,Gareth Bale,85300000
2016,Paul Pogba,89000000
2018,Philippe Coutinho,105000000
2023,Enzo Fernández,106800000
2025,Alexander Isak,125000000
